DIA_CODE,DIA_TEXT
E129,"DIABETES MELLITUS ASOCIADA CON DESNUTRICION, SIN MENCION DE COMPLICACION"
E130,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMA"
E131,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON CETOACIDOSIS"
E132,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES RENALES"
E133,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES OFTALMICAS"
E134,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES NEUROLOGICAS"
E135,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS"
E136,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON OTRAS COMPLICACIONES ESPECIFICADAS"
E137,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES MULTIPLES"
E138,"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES NO ESPECIFICADAS"
E139,"OTRAS DIABETES MELLITUS ESPECIFICADAS, SIN MENCION DE COMPLICACION"
E140,"DIABETES MELLITUS NO ESPECIFICADA, CON COMA"
E141,"DIABETES MELLITUS NO ESPECIFICADA, CON CETOACIDOSIS"
E142,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES RENALES"
E143,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES OFTALMICAS"
E144,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES NEUROLOGICAS"
E145,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES CIRCULATORIAS PERIFERICAS"
E146,"DIABETES MELLITUS NO ESPECIFICADA, CON OTRAS COMPLICACIONES ESPECIFICADAS"
E147,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES MULTIPLES"
E148,"DIABETES MELLITUS NO ESPECIFICADA, CON COMPLICACIONES NO ESPECIFICADAS"
E149,"DIABETES MELLITUS NO ESPECIFICADA, SIN MENCION DE COMPLICACION"
E782,HIPERLIPIDEMIA MIXTA
E784,OTRA HIPERLIPIDEMIA
E785,HIPERLIPIDEMIA NO ESPECIFICADA
E780,HIPERCOLESTEROLEMIA PURA
E660,OBESIDAD DEBIDA A EXCESO DE CALORIAS
E661,OBESIDAD INDUCIDA POR DROGAS
E662,OBESIDAD EXTREMA CON HIPOVENTILACION ALVEOLAR
E668,OTROS TIPOS DE OBESIDAD
E669,"OBESIDAD, NO ESPECIFICADA"
O102,"ENFERMEDAD RENAL HIPERTENSIVA PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO"
N159,"ENFERMEDAD RENAL TUBULOINTERSTICIAL, NO ESPECIFICADA"
N170,INSUFICIENCIA RENAL AGUDA CON NECROSIS TUBULAR
N171,INSUFICIENCIA RENAL AGUDA CON NECROSIS CORTICAL AGUDA
N172,INSUFICIENCIA RENAL AGUDA CON NECROSIS MEDULAR
N179,"INSUFICIENCIA RENAL AGUDA, NO ESPECIFICADA"
N180,INSUFICIENCIA RENAL TERMINAL
N181,OTRAS INSUFICIENCIAS RENALES CRONICAS
N188,OTRAS INSUFICIENCIAS RENALES CRONICAS
I120,ENFERMEDAD RENAL HIPERTENSIVA CON INSUFICIENCIA RENAL
I129,ENFERMEDAD RENAL HIPERTENSIVA SIN INSUFICIENCIA RENAL
N159,"ENFERMEDAD RENAL TUBULOINTERSTICIAL, NO ESPECIFICADA"
I50.0,Insuficiencia cardíaca
I11.0,Insuficiencia cardíaca
I13.0,Insuficiencia cardíaca
I13.2,Insuficiencia cardíaca
